Ensembl Gene ID	Chromosome Name	Associated Gene Name	Gene type	EntrezGene ID	HGNC ID(s)
ENSG00000200169	1	RNU5D-1	snRNA		HGNC:10214
ENSG00000242551	3	POU5F1P6	unprocessed_pseudogene		HGNC:33312
ENSG00000207199	8	SNORD38	snoRNA		
ENSG00000207630	19	MIR7-3	miRNA	407045	HGNC:31640
ENSG00000163155	1	LYSMD1	protein_coding	388695	HGNC:32070
ENSG00000265140	11	MIR4301	miRNA	100422855	HGNC:38323
ENSG00000240160	22	RN7SL263P	misc_RNA		HGNC:46279
ENSG00000253762	8	RP11-579E24.2	lincRNA		
ENSG00000282619	CHR_HSCHR8_2_CTG7	AF186192.5	transcribed_unprocessed_pseudogene		
ENSG00000251858	14	SNORA31	snoRNA		
ENSG00000241464	19	RPL39P38	processed_pseudogene		HGNC:36935
ENSG00000252339	16	RNU6-1061P	snRNA		HGNC:48024
ENSG00000248817	4	PMPCAP1	processed_pseudogene		HGNC:51348
ENSG00000179571	1	NBPF17P	unprocessed_pseudogene		HGNC:31997
ENSG00000200444	15	RNU6-1339P	snRNA		HGNC:48302
ENSG00000238004	2	AC009227.3	lincRNA		
ENSG00000234876	CHR_HSCHR6_MHC_SSTO_CTG1	NOTCH4	protein_coding	4855	HGNC:7884
ENSG00000274079	15	Metazoa_SRP	misc_RNA		
ENSG00000187714	10	SLC18A3	protein_coding	6572	HGNC:10936
ENSG00000279149	13	RP11-374F3.5	TEC		
ENSG00000202189	9	SNORA30	snoRNA		
ENSG00000203799	6	CCDC162P	unitary_pseudogene	221262	HGNC:21565
ENSG00000254434	11	CTD-2555I5.1	lincRNA		
ENSG00000222764	6	RN7SKP106	misc_RNA		HGNC:45830
ENSG00000271631	9	RP11-408O19.5	antisense		
ENSG00000171209	4	CSN3	protein_coding	1448	HGNC:2446
ENSG00000180229	15	HERC2P3	transcribed_unprocessed_pseudogene	283755	HGNC:4871
ENSG00000201439	12	RNU4-67P	snRNA		HGNC:47003
ENSG00000254917	8	OR7E15P	unprocessed_pseudogene		HGNC:8386
ENSG00000163132	4	MSX1	protein_coding	4487	HGNC:7391
ENSG00000272900	11	OR10Q2P	unprocessed_pseudogene		HGNC:15135
ENSG00000200949	15	SNORD115-32	snoRNA	100033806	HGNC:33051
ENSG00000166924	7	NYAP1	protein_coding	222950	HGNC:22009
ENSG00000206864	X	RNU6-207P	snRNA		HGNC:47170
ENSG00000243252	CHR_HSCHR6_MHC_COX_CTG1	XXbac-BPG254F23.6	processed_transcript		
ENSG00000252011	1	SNORA25	snoRNA		
ENSG00000259528	15	RP11-272D12.2	antisense		
ENSG00000265815	1	MIR1273G	miRNA	100616145	HGNC:41684
ENSG00000240554	11	RPL7AP58	processed_pseudogene		HGNC:36586
ENSG00000207976	10	MIR607	miRNA	693192	HGNC:32863
ENSG00000200612	14	SNORD114-25	snoRNA	767605	HGNC:33013
ENSG00000173480	19	ZNF417	protein_coding	147687	HGNC:20646
ENSG00000259440	15	NPM1P43	processed_pseudogene		HGNC:45222
ENSG00000207582	8	MIR30B	miRNA	407030	HGNC:31625
ENSG00000213468	X	FIRRE	lincRNA	286467	HGNC:49627
ENSG00000206587	11	RNU6-46P	snRNA		HGNC:34290
ENSG00000234196	CHR_HSCHR6_MHC_MCF_CTG1	ZBTB12	protein_coding	221527	HGNC:19066
ENSG00000221187	X	MIR548M	miRNA	100313772	HGNC:35331
ENSG00000278770	17	Metazoa_SRP	misc_RNA		
ENSG00000206656	15	SNORD116-17	snoRNA		HGNC:33083
ENSG00000238077	3	NMNAT1P3	processed_pseudogene		HGNC:49165
ENSG00000264893	CHR_HSCHR6_MHC_MCF_CTG1	U1	snRNA		
ENSG00000252744	1	Y_RNA	misc_RNA		
ENSG00000278537	2	IGKV2OR2-8	IG_V_pseudogene		HGNC:5811
ENSG00000252722	15	SCARNA20	scaRNA		
ENSG00000265574	17	WDR45BP1	processed_pseudogene		HGNC:26605
ENSG00000088682	16	COQ9	protein_coding	57017	HGNC:25302
ENSG00000201316	8	SNORA7	snoRNA		
ENSG00000238490	6	Y_RNA	misc_RNA		
ENSG00000272969	4	RP11-528I4.2	antisense		
ENSG00000250464	4	LRRC34P2	processed_pseudogene		HGNC:49888
ENSG00000224814	2	AC114812.8	antisense		
ENSG00000282933	X	RHOXF1P3	unprocessed_pseudogene		HGNC:51612
ENSG00000242360	13	RN7SL272P	misc_RNA		HGNC:46288
ENSG00000260827	16	RP11-1437A8.4	lincRNA		
ENSG00000254735	11	HMGB1P42	processed_pseudogene		HGNC:39189
ENSG00000161981	16	SNRNP25	protein_coding	79622	HGNC:14161
ENSG00000200755	1	RNA5SP68	rRNA		HGNC:42845
ENSG00000241418	X	MCRIP2P1	processed_pseudogene		HGNC:49629
ENSG00000201758	1	RN7SKP55	misc_RNA		HGNC:45779
ENSG00000258175	14	RP11-412H8.2	lincRNA		
ENSG00000136011	12	STAB2	protein_coding	55576	HGNC:18629
ENSG00000254163	5	CTC-340I23.2	antisense		
ENSG00000199629	7	RNU1-14P	snRNA		HGNC:10139
ENSG00000199700	7	RNU6-223P	snRNA		HGNC:47186
ENSG00000236153	2	AC104076.3	antisense		
ENSG00000201070	2	RNU4-84P	snRNA		HGNC:47020
ENSG00000227818	1	RP11-227F8.2	lincRNA		
ENSG00000204683	10	C10orf113	protein_coding	387638	HGNC:31447
ENSG00000254907	11	RP11-484D2.2	antisense		
ENSG00000212138	12	RNA5SP372	rRNA		HGNC:43272
ENSG00000222579	12	Y_RNA	misc_RNA		
ENSG00000254734	11	CTD-3138F19.1	lincRNA		
ENSG00000105996	7	HOXA2	protein_coding	3199	HGNC:5103
ENSG00000276633	21	AJ011931.1	sense_intronic		
ENSG00000215957	14	MIR300	miRNA	100126297	HGNC:33636
ENSG00000212485	8	RNU6-1197P	snRNA		HGNC:48160
ENSG00000272541	6	XXbac-BPGBPG55C20.1	lincRNA		
ENSG00000277617	1	Metazoa_SRP	misc_RNA		
ENSG00000052802	4	MSMO1	protein_coding	6307	HGNC:10545
ENSG00000258745	14	RP11-218E20.5	antisense		
ENSG00000180475	11	OR10Q1	protein_coding	219960	HGNC:15134
ENSG00000263641	2	MIR4777	miRNA	100616317	HGNC:41773
ENSG00000228779	16	Z69666.2	antisense		
ENSG00000119457	9	SLC46A2	protein_coding	57864	HGNC:16055
ENSG00000202528	7	RNU6-650P	snRNA		HGNC:47613
ENSG00000211590	21	MIR802	miRNA	768219	HGNC:33140
ENSG00000277826	14	uc_338	misc_RNA		
ENSG00000239440	3	RP11-260O18.1	lincRNA		
ENSG00000261507	16	RP11-1437A8.6	lincRNA		
ENSG00000265820	16	MIR3177	miRNA	100423012	HGNC:38364
ENSG00000227554	1	RP11-444D13.1	antisense		
ENSG00000167968	16	DNASE1L2	protein_coding	1775	HGNC:2958
ENSG00000173517	15	PEAK1	protein_coding	79834	HGNC:29431
ENSG00000207982	6	MIR548B	miRNA	693128	HGNC:32799
ENSG00000201944	1	SNORA72	snoRNA		
ENSG00000251297	4	TUBB7P	unprocessed_pseudogene		HGNC:12413
ENSG00000263514	6	MIR3668	miRNA	100500879	HGNC:38982
ENSG00000170624	5	SGCD	protein_coding	6444	HGNC:10807
ENSG00000263730	X	MIR3937	miRNA	100500822	HGNC:38970
ENSG00000205653	6	RP3-416J7.5	lincRNA		
ENSG00000207818	X	MIR105-2	miRNA	406898	HGNC:31493
ENSG00000251325	4	RP11-415C15.3	lincRNA		
ENSG00000106436	7	MYL10	protein_coding	93408	HGNC:29825
ENSG00000101901	X	ALG13	protein_coding	79868	HGNC:30881
ENSG00000264602	CHR_HSCHR6_MHC_QBL_CTG1	Y_RNA	misc_RNA		
ENSG00000208032	8	MIR548A3	miRNA	693127	HGNC:32798
ENSG00000282749	CHR_HSCHR17_7_CTG4	CTB-58E17.5	antisense		
ENSG00000253701	14	AL928768.3	lincRNA		
ENSG00000281156	9	MIR3651	miRNA	100500918	HGNC:38897
ENSG00000201875	2	RN7SKP178	misc_RNA		HGNC:45902
ENSG00000274551	12	RP11-434C1.6	unprocessed_pseudogene		
ENSG00000283329	9	RP13-198D9.4	protein_coding		
ENSG00000202398	13	RNU6-61P	snRNA		HGNC:42551
ENSG00000234225	1	RP4-704D21.2	lincRNA		
ENSG00000144029	2	MRPS5	protein_coding	64969	HGNC:14498
ENSG00000199572	4	RNA5SP174	rRNA		HGNC:43074
ENSG00000233947	9	RP11-336N8.2	processed_pseudogene		
ENSG00000206857	6	RNU6-214P	snRNA		HGNC:47177
ENSG00000248416	4	RP11-1191J2.4	antisense		
ENSG00000248008	12	NRAV	antisense	100506668	HGNC:48588
ENSG00000238405	10	RNA5SP311	rRNA		HGNC:43211
ENSG00000232244	CHR_HSCHR6_MHC_SSTO_CTG1	FGFR3P	processed_pseudogene		
ENSG00000199571	12	SNORA22	snoRNA		
ENSG00000201660	X	SNORA20	snoRNA		
ENSG00000162545	1	CAMK2N1	protein_coding	55450	HGNC:24190
ENSG00000283431	7	RP11-1217F2.22	unprocessed_pseudogene		
ENSG00000207757	7	MIR93	miRNA	407050	HGNC:31645
ENSG00000283222	2	MIR4433A	miRNA	100616265	HGNC:41634
ENSG00000273180	4	RP11-335L23.4	lincRNA		
ENSG00000238962	2	RNU7-176P	snRNA		HGNC:45710
ENSG00000233482	1	RP11-78O9.1	antisense		
ENSG00000113811	3	SELK	protein_coding	58515	
ENSG00000263107	17	RP11-1113L8.2	processed_pseudogene		
ENSG00000223687	CHR_HSCHR6_MHC_COX_CTG1	ZNF311	protein_coding	282890	HGNC:13847
ENSG00000252397	13	RNU5A-4P	snRNA		HGNC:42521
ENSG00000231254	2	PCED1CP	processed_pseudogene		HGNC:44083
ENSG00000275137	CHR_HSCHR19_4_CTG3_1	AC008746.3	antisense		
ENSG00000163902	3	RPN1	protein_coding	6184	HGNC:10381
ENSG00000277099	1	FAM166AP1	unprocessed_pseudogene		
ENSG00000249139	20	EPPIN-WFDC6	protein_coding	100526773	HGNC:38825
ENSG00000222640	14	RNU2-51P	snRNA		HGNC:48544
ENSG00000170873	8	MTSS1	protein_coding	9788	HGNC:20443
ENSG00000263894	6	MIR3925	miRNA	100500885	HGNC:38996
ENSG00000250626	4	RP11-756P10.2	lincRNA	101930028	
ENSG00000244748	5	RN7SL153P	misc_RNA		HGNC:46169
ENSG00000273580	7	RP11-609L3.2	unprocessed_pseudogene		
ENSG00000177504	X	VCX2	protein_coding	51480	HGNC:18158
ENSG00000130255	19	RPL36	protein_coding	25873	HGNC:13631
ENSG00000283337	10	U6	snRNA		
ENSG00000253677	8	UBE2HP1	processed_pseudogene		HGNC:31079
ENSG00000164048	3	ZNF589	protein_coding	51385	HGNC:16747
ENSG00000252587	16	RNA5SP422	rRNA		HGNC:43322
ENSG00000240936	6	RN7SL554P	misc_RNA		HGNC:46570
ENSG00000230403	13	LINC01066	lincRNA		HGNC:49104
ENSG00000262967	17	RP11-294J22.6	antisense		
ENSG00000239344	8	RP11-771F20.1	processed_pseudogene		
ENSG00000207467	12	Y_RNA	misc_RNA		
ENSG00000215021	12	PHB2	protein_coding	11331	HGNC:30306
ENSG00000200488	2	RN7SKP203	misc_RNA		HGNC:45927
ENSG00000251619	4	RP11-756P10.5	lincRNA		
ENSG00000273964	13	Y_RNA	misc_RNA		
ENSG00000174574	1	AKIRIN1	protein_coding	79647	HGNC:25744
ENSG00000205808	9	PLPP6	protein_coding	403313	HGNC:23682
ENSG00000256060	19	TRAPPC2B	protein_coding		HGNC:10710
ENSG00000212560	X	RNU6-630P	snRNA		HGNC:47593
ENSG00000211944	14	IGHV3-16	IG_V_gene		HGNC:5583
ENSG00000170074	5	FAM153A	protein_coding	285596	HGNC:29940
ENSG00000242019	19	KIR3DL3	protein_coding	115653	HGNC:16312
ENSG00000200645	18	RNU6-1210P	snRNA		HGNC:48173
ENSG00000139618	13	BRCA2	protein_coding	675	HGNC:1101
ENSG00000199921	1	RNU6-161P	snRNA		HGNC:47124
ENSG00000162438	1	CTRC	protein_coding	11330	HGNC:2523
ENSG00000258297	11	RP11-658F2.8	antisense		
ENSG00000277764	2	Vax2os1_3	misc_RNA		
ENSG00000013588	12	GPRC5A	protein_coding	9052	HGNC:9836
ENSG00000013588	12	GPRC5A	protein_coding	693199	HGNC:9836
ENSG00000212555	20	RNU6-192P	snRNA		HGNC:47155
ENSG00000240435	16	RPS12P27	processed_pseudogene		HGNC:35892
ENSG00000165125	7	TRPV6	protein_coding	55503	HGNC:14006
ENSG00000141540	17	TTYH2	protein_coding	94015	HGNC:13877
ENSG00000201794	7	RN7SKP130	misc_RNA		HGNC:45854
ENSG00000206819	5	RNU6-260P	snRNA		HGNC:47223
ENSG00000237321	6	RP11-374A22.1	sense_intronic		
ENSG00000201077	15	RNU6-188P	snRNA		HGNC:47151
ENSG00000225893	9	RP11-6J24.3	processed_pseudogene		
ENSG00000138459	3	SLC35A5	protein_coding	55032	HGNC:20792
ENSG00000200146	11	RNU6-544P	snRNA		HGNC:47507
ENSG00000157873	1	TNFRSF14	protein_coding	8764	HGNC:11912
ENSG00000267353	19	CTD-2162K18.3	lincRNA		
ENSG00000176253	14	OR4K13	protein_coding	390433	HGNC:15351
ENSG00000270314	7	GS1-165B14.2	processed_pseudogene		
ENSG00000212176	6	RNA5SP207	rRNA		HGNC:43107
ENSG00000229900	20	HSPD1P21	processed_pseudogene		HGNC:38592
ENSG00000273986	20	Metazoa_SRP	misc_RNA		
ENSG00000196302	5	RP11-497H16.5	unprocessed_pseudogene		
ENSG00000264462	21	MIR3648-2	miRNA	103504731	HGNC:50843
ENSG00000233264	7	AC006042.8	processed_pseudogene		
ENSG00000263932	3	MIR4448	miRNA	100616127	HGNC:41604
ENSG00000238478	15	RNU6-498P	snRNA		HGNC:47461
ENSG00000234123	3	RHBDF1P1	processed_pseudogene		HGNC:44499
ENSG00000268545	19	VN1R107P	unprocessed_pseudogene		HGNC:37431
ENSG00000272681	X	FAM223B	lincRNA	286967	HGNC:34048
ENSG00000272681	X	FAM223B	lincRNA	100132967	HGNC:34048
ENSG00000278159	20	MIR8062	miRNA	102465865	HGNC:49975
ENSG00000202388	3	Y_RNA	misc_RNA		
ENSG00000271945	6	RP11-354K4.2	lincRNA		
ENSG00000259590	15	RP11-20G13.3	lincRNA		
ENSG00000264049	17	MIR4737	miRNA	100616210	HGNC:41669
ENSG00000205433	10	SNRPGP6	processed_pseudogene		HGNC:39325
ENSG00000239942	10	RN7SL394P	misc_RNA		HGNC:46410
ENSG00000274294	15	RP11-20G13.5	lincRNA		
ENSG00000225783	22	MIAT	lincRNA	440823	HGNC:33425
ENSG00000188580	6	NKAIN2	protein_coding	154215	HGNC:16443
ENSG00000207080	1	Y_RNA	misc_RNA		
ENSG00000273408	11	OR5B15P	unprocessed_pseudogene		HGNC:15265
ENSG00000282379	CHR_HSCHR7_2_CTG4_4	DTX2	protein_coding	113878	HGNC:15973
ENSG00000280620	3	SCAANT1	antisense		HGNC:43718
ENSG00000226027	CHR_HSCHR6_MHC_SSTO_CTG1	HLA-S	unprocessed_pseudogene		HGNC:19395
ENSG00000278026	3	SOX2OT_exon4	misc_RNA		
ENSG00000110925	12	CSRNP2	protein_coding	81566	HGNC:16006
ENSG00000199490	20	Y_RNA	misc_RNA		
ENSG00000272205	1	RP11-277B15.3	lincRNA		
ENSG00000258594	15	RP11-30G8.2	lincRNA		
ENSG00000200966	9	RN7SKP87	misc_RNA		HGNC:45811
ENSG00000199740	12	Y_RNA	misc_RNA		
ENSG00000259969	14	RP11-999E24.3	sense_overlapping		
ENSG00000207399	8	RNU6-1011P	snRNA		HGNC:47974
ENSG00000253252	8	RP11-10A14.6	lincRNA		
ENSG00000259945	16	CTD-2012K14.3	antisense		
ENSG00000207363	X	Y_RNA	misc_RNA		
ENSG00000180042	17	OR1R1P	unprocessed_pseudogene		HGNC:8226
ENSG00000279621	16	RP11-67A1.4	TEC		
ENSG00000238842	12	RNU7-106P	snRNA		HGNC:45640
ENSG00000232283	9	RP11-240L7.4	antisense		
ENSG00000254091	8	RP11-10A14.8	processed_pseudogene		
ENSG00000207461	6	RNU6-253P	snRNA		HGNC:47216
ENSG00000201372	20	RNU6-1251P	snRNA		HGNC:48214
ENSG00000262670	17	RP11-64J4.2	sense_overlapping		
ENSG00000251728	7	Y_RNA	misc_RNA		
ENSG00000230134	CHR_HSCHR6_MHC_DBB_CTG1	HCG24	processed_transcript		HGNC:23500
ENSG00000236938	7	AC003092.2	lincRNA		
ENSG00000270160	11	RP11-264E20.2	lincRNA		
ENSG00000129437	19	KLK14	protein_coding	43847	HGNC:6362
ENSG00000280213	20	UCKL1-AS1	antisense		HGNC:31967
ENSG00000234917	1	RP5-994D16.3	lincRNA		
ENSG00000188021	X	UBQLN2	protein_coding	29978	HGNC:12509
ENSG00000205693	12	MANSC4	protein_coding	100287284	HGNC:40023
ENSG00000282439	CHR_HSCHR14_3_CTG1	IGHV1-67	IG_V_pseudogene		HGNC:5556
ENSG00000107262	9	BAG1	protein_coding	573	HGNC:937
ENSG00000255211	8	RP11-1195F20.7	unprocessed_pseudogene		
ENSG00000124466	19	LYPD3	protein_coding	27076	HGNC:24880
ENSG00000229846	1	RP11-141A19.1	antisense		
ENSG00000106261	7	ZKSCAN1	protein_coding	7586	HGNC:13101
ENSG00000198173	X	FAM47C	protein_coding	442444	HGNC:25301
ENSG00000278429	CHR_HSCHR15_3_CTG3	GOLGA8DP	transcribed_unprocessed_pseudogene		HGNC:32376
ENSG00000276298	X	LL0XNC01-116E7.5	unprocessed_pseudogene		
ENSG00000269786	19	CTC-258N23.3	processed_pseudogene		
ENSG00000087074	19	PPP1R15A	protein_coding	23645	HGNC:14375
ENSG00000257335	7	MGAM	protein_coding	8972	HGNC:7043
ENSG00000248885	5	RP11-950K24.2	processed_pseudogene		
ENSG00000133818	11	RRAS2	protein_coding	22800	HGNC:17271
ENSG00000229759	3	MRPS18AP1	processed_pseudogene		HGNC:29740
ENSG00000231728	X	LL0XNC01-116E7.2	antisense		
ENSG00000168096	16	ANKS3	protein_coding	124401	HGNC:29422
ENSG00000104549	8	SQLE	protein_coding	6713	HGNC:11279
ENSG00000213145	14	CRIP1	protein_coding	1396	HGNC:2360
ENSG00000213247	10	RP11-479A21.1	processed_pseudogene		
ENSG00000163635	3	ATXN7	protein_coding	6314	HGNC:10560
ENSG00000161664	17	ASB16	protein_coding	92591	HGNC:19768
ENSG00000137561	8	TTPA	protein_coding	7274	HGNC:12404
ENSG00000232634	Y	NEFLP1	processed_pseudogene		HGNC:37662
ENSG00000051620	6	HEBP2	protein_coding	23593	HGNC:15716
ENSG00000276537	CHR_HSCHR19LRC_COX1_CTG3_1	TTYH1	protein_coding	57348	HGNC:13476
ENSG00000223822	21	EEF1A1P1	processed_pseudogene		HGNC:3191
ENSG00000203943	1	SAMD13	protein_coding	148418	HGNC:24582
ENSG00000211706	7	TRBV6-1	TR_V_gene		HGNC:12226
ENSG00000260760	15	PWRN3	lincRNA	101928840	HGNC:49131
ENSG00000237666	2	AC108868.3	unprocessed_pseudogene		
ENSG00000236719	1	OVAAL	lincRNA	148756	HGNC:49422
ENSG00000155621	9	C9orf85	protein_coding	138241	HGNC:28784
ENSG00000161558	19	TMEM143	protein_coding	55260	HGNC:25603
ENSG00000279430	1	RP11-190A12.9	TEC		
ENSG00000214199	2	EEF1A1P12	processed_pseudogene		HGNC:3195
ENSG00000187742	9	SECISBP2	protein_coding	79048	HGNC:30972
ENSG00000224083	9	MTCO1P11	unprocessed_pseudogene		HGNC:52013
ENSG00000244468	3	RP11-206M11.7	antisense		
ENSG00000282652	CHR_HSCHR14_3_CTG1	IGHVII-67-1	IG_V_pseudogene		HGNC:5689
ENSG00000269032	19	AC016629.7	transcribed_processed_pseudogene		
ENSG00000228662	CHR_HSCHR6_MHC_MCF_CTG1	MCCD1	protein_coding	401250	HGNC:20668
ENSG00000282016	CHR_HSCHR14_3_CTG1	IGHVIII-67-2	IG_V_pseudogene		HGNC:5705
ENSG00000229601	X	AL590762.10	processed_pseudogene		
ENSG00000211821	14	TRDV2	TR_V_gene		HGNC:12263
ENSG00000215873	1	FEN1P1	processed_pseudogene		HGNC:3651
ENSG00000238280	10	RP11-436D10.3	antisense		
ENSG00000271330	7	CTA-298G8.2	processed_pseudogene		
ENSG00000255666	11	RP11-867G2.6	lincRNA		
ENSG00000125363	X	AMELX	protein_coding	265	HGNC:461
ENSG00000267582	19	CTD-3252C9.2	antisense		
ENSG00000237174	6	RP11-415D17.3	antisense		
ENSG00000171189	21	GRIK1	protein_coding	2897	HGNC:4579
ENSG00000228079	2	AC012368.1	lincRNA		
ENSG00000263698	18	RP11-408H20.3	antisense		
ENSG00000240006	3	RP11-200A1.1	lincRNA		
ENSG00000230900	CHR_HSCHR6_MHC_MCF_CTG1	ATP6V1G2	protein_coding	534	HGNC:862
ENSG00000183077	17	AFMID	protein_coding	125061	HGNC:20910
ENSG00000232587	13	EEF1A1P3	processed_pseudogene		HGNC:3194
ENSG00000234036	4	TXNP6	processed_pseudogene		HGNC:49486
ENSG00000274899	Y	RP11-566H16.1	processed_pseudogene		
ENSG00000256981	12	TAS2R18	processed_pseudogene		
ENSG00000270105	11	RP11-326C3.14	lincRNA		
ENSG00000237618	10	BTBD7P2	processed_pseudogene		HGNC:44876
ENSG00000239862	2	IGKV1-37	IG_V_gene		HGNC:5739
ENSG00000281207	1	SLFNL1-AS1	antisense	100507178	HGNC:44126
ENSG00000131864	19	USP29	protein_coding	57663	HGNC:18563
ENSG00000237016	2	AC013410.1	processed_pseudogene		
ENSG00000066557	1	LRRC40	protein_coding	55631	HGNC:26004
ENSG00000229159	Y	TSPY23P	unprocessed_pseudogene		HGNC:38594
ENSG00000138675	4	FGF5	protein_coding	2250	HGNC:3683
ENSG00000255328	11	RP11-326C3.12	lincRNA		
ENSG00000143126	1	CELSR2	protein_coding	1952	HGNC:3231
ENSG00000257572	12	RP11-478B9.2	processed_pseudogene		
ENSG00000230780	CHR_HSCHR6_MHC_COX_CTG1	OR11A1	protein_coding	26531	HGNC:8176
ENSG00000108175	10	ZMIZ1	protein_coding	57178	HGNC:16493
ENSG00000232034	2	AC092168.2	sense_intronic		
ENSG00000222009	1	BTBD19	protein_coding	149478	HGNC:27145
ENSG00000248490	5	CTD-3007L5.1	lincRNA		
ENSG00000232394	15	AC090696.2	antisense		
ENSG00000188092	1	GPR89B	protein_coding	51463	HGNC:13840
ENSG00000241059	5	CTD-2061E19.6	antisense		
ENSG00000250013	5	RP11-456A14.1	processed_pseudogene		
ENSG00000255837	12	TAS2R20	protein_coding	259295	HGNC:19109
ENSG00000257241	12	RP11-611E13.3	antisense		
ENSG00000198276	20	UCKL1	protein_coding	54963	HGNC:15938
ENSG00000198276	20	UCKL1	protein_coding	100302137	HGNC:15938
ENSG00000276828	2	RP11-88L20.1	unprocessed_pseudogene		
ENSG00000255883	5	RP11-79P5.10	processed_pseudogene		
ENSG00000101132	20	PFDN4	protein_coding	5203	HGNC:8868
ENSG00000237604	21	AP001056.1	lincRNA		
ENSG00000275012	19	CTC-550B14.10	processed_pseudogene		
ENSG00000257815	12	LINC01481	antisense	101928062	
ENSG00000152520	13	PAN3	protein_coding	255967	HGNC:29991
ENSG00000249309	4	RP11-153M7.5	antisense		
ENSG00000283540	19	MIR520F	miRNA	574464	HGNC:32096
ENSG00000236723	1	RP5-1024G6.2	antisense		
ENSG00000278008	22	PPP1R26P4	processed_pseudogene		HGNC:42018
ENSG00000207979	19	MIR527	miRNA	574497	HGNC:32129
ENSG00000243135	2	UGT1A3	protein_coding	54659	HGNC:12535
ENSG00000274253	15	RP11-566K19.6	sense_overlapping	283683	
ENSG00000274175	KI270728.1	AC133551.1	protein_coding		
ENSG00000251544	5	MTND5P12	processed_pseudogene		HGNC:42274
ENSG00000143653	1	SCCPDH	protein_coding	51097	HGNC:24275
ENSG00000227443	9	RP11-344A7.1	processed_pseudogene		
ENSG00000172869	5	DMXL1	protein_coding	1657	HGNC:2937
ENSG00000248944	8	FAM90A6P	unprocessed_pseudogene		HGNC:32254
ENSG00000279494	22	RP11-494O16.4	lincRNA		
ENSG00000231098	7	AC008154.4	antisense		
ENSG00000102038	X	SMARCA1	protein_coding	6594	HGNC:11097
ENSG00000257012	11	RP11-60C6.6	unprocessed_pseudogene		
ENSG00000276747	1	PADI6	protein_coding	353238	HGNC:20449
ENSG00000277335	CHR_HSCHR19_4_CTG3_1	LAIR2	protein_coding	3904	HGNC:6478
ENSG00000270187	2	IGKV1OR2-11	IG_V_pseudogene		HGNC:5768
ENSG00000101443	20	WFDC2	protein_coding	10406	HGNC:15939
ENSG00000236804	1	RPS3AP12	processed_pseudogene		HGNC:35527
ENSG00000275633	CHR_HSCHR19LRC_COX2_CTG3_1	GP6	protein_coding	51206	HGNC:14388
ENSG00000239697	17	TNFSF12	protein_coding	8742	HGNC:11927
ENSG00000255855	11	RP11-735A19.2	unprocessed_pseudogene		
ENSG00000270123	5	VTRNA2-1	vaultRNA		HGNC:37054
ENSG00000237955	19	AC008746.10	processed_pseudogene		
ENSG00000230160	7	AC004854.5	processed_pseudogene		
ENSG00000143603	1	KCNN3	protein_coding	3782	HGNC:6292
ENSG00000241905	3	NDUFS6P1	processed_pseudogene		HGNC:52274
ENSG00000243945	3	RP11-696F10.1	processed_pseudogene		
ENSG00000254041	8	RP11-574O7.1	antisense		
ENSG00000266712	8	MIR3149	miRNA	100422921	HGNC:38251
ENSG00000228944	7	AC004485.3	antisense		
ENSG00000266006	11	MIR4488	miRNA	100616470	HGNC:41599
ENSG00000273700	12	MIR6760	miRNA	102465455	HGNC:49955
ENSG00000212280	8	RNA5SP256	rRNA		HGNC:43156
ENSG00000260698	1	RP11-439E19.9	lincRNA		
ENSG00000254037	8	RP11-775B15.3	processed_pseudogene		
ENSG00000199035	5	MIR103A1	miRNA	406895	HGNC:31490
ENSG00000262303	CHR_HSCHR22_1_CTG1	RP4-669P10.16	lincRNA		
ENSG00000221586	11	MIR1261	miRNA	100302228	HGNC:35327
ENSG00000271414	7	RP11-751K21.1	processed_pseudogene		
ENSG00000199719	20	RN7SKP74	misc_RNA		HGNC:45798
ENSG00000277398	CHR_HSCHR19LRC_PGF1_CTG3_1	LILRA1	protein_coding	11024	HGNC:6602
ENSG00000104131	15	EIF3J	protein_coding	8669	HGNC:3270
ENSG00000116205	1	TCEANC2	protein_coding	127428	HGNC:26494
ENSG00000116205	1	TCEANC2	protein_coding	100616315	HGNC:26494
ENSG00000239390	5	RN7SL87P	misc_RNA		HGNC:46103
ENSG00000014914	1	MTMR11	protein_coding	10903	HGNC:24307
ENSG00000230871	13	RPS6P23	processed_pseudogene		HGNC:39581
ENSG00000064692	5	SNCAIP	protein_coding	9627	HGNC:11139
ENSG00000276270	19	MIR6799	miRNA	102465479	HGNC:50162
ENSG00000278822	11	WT1-AS_1	misc_RNA		
ENSG00000078618	1	NRDC	protein_coding	4898	HGNC:7995
ENSG00000078618	1	NRDC	protein_coding	100313892	HGNC:7995
ENSG00000242608	5	RPS23P5	processed_pseudogene		HGNC:35726
ENSG00000122585	7	NPY	protein_coding	4852	HGNC:7955
ENSG00000263515	X	MIR548AN	miRNA	100616144	HGNC:41681
ENSG00000283616	6	MIR5683	miRNA	100847034	HGNC:43453
ENSG00000277264	6	MIR6833	miRNA	102465500	HGNC:50245
ENSG00000258406	14	RP11-88E18.1	processed_pseudogene		
ENSG00000258315	17	C17orf49	protein_coding	124944	HGNC:28737
ENSG00000275878	7	RN7SL43P	misc_RNA		HGNC:46059
ENSG00000248462	5	NENFP3	processed_pseudogene		HGNC:50300
ENSG00000252735	8	RNU6-528P	snRNA		HGNC:47491
ENSG00000266863	9	RN7SL123P	misc_RNA		HGNC:46139
